Наименование:;Код товара:;Артикул:;Группа товаров:;Вид товаров:;Единица измерения:;Весовой товар:;Код весового товара;Штрих-код:;Цена:;Количество:
Вино "Шато Бельвю 2012" сухе біле 0,75 л;260;260;Алкоголь;Пиво;шт;False;260;3760144540233;1345;269
Вино "Шато Бельвю 2010" сухе червоне 0,75 л;261;261;Алкоголь;Пиво;шт;False;261;3760144540240;1350;270
Бренді "Pliska";262;262;Алкоголь;Пиво;шт;False;262;3800008352388;1355;271
Батончик "Kit-Kat" 1+1 70г;263;263;Алкоголь;Пиво;шт;False;263;3800020417560;1360;272
Батончик "Kit-Kat" 40г;264;264;Алкоголь;Пиво;шт;False;264;3800020417577;1365;273
Батончик "Kit-Kat" з ароматом ванілі 40г;265;265;Алкоголь;Пиво;шт;False;265;3800020423264;1370;274
Віскі "Black ram" 1л;266;266;Алкоголь;Пиво;шт;False;266;3800032010292;1375;275
Джін "Sense" Шосте відчуття  міц. 37,5% 1л;267;267;Алкоголь;Пиво;шт;False;267;3800032010308;1380;276
Вiскi " Black Ram" 0,2 л;268;268;Алкоголь;Пиво;шт;False;268;3800032020161;1385;277
Горілка "Flirt vodka" міц. 40% 0,5л;269;269;Алкоголь;Пиво;шт;False;269;3800032050076;1390;278
Віскі " Blak Rem " 0,5л;270;270;Алкоголь;Пиво;шт;False;270;3800032050090;1395;279
Горілка "Alaska" міц. 40% 0,5л;271;271;Алкоголь;Пиво;шт;False;271;3800032050113;1400;280
Вiскi " Black Ram" 0,7л;272;272;Алкоголь;Пиво;шт;False;272;3800032070302;1405;281
Вiскi " Black Ram" 0,7л;273;273;Алкоголь;Пиво;шт;False;273;3800032070364;1410;282
Алкогольний напій "Black ram" медовий 0,7л;274;274;Алкоголь;Пиво;шт;False;274;3800032070500;1415;283
Бренді "Lord I&G" міц.40% 1 л;275;275;Алкоголь;Пиво;шт;False;275;3800226021400;1420;284
Фольга харчова "Норма" 10 м;276;276;Алкоголь;Пиво;шт;False;276;3820043390817;1425;285
Приправка мельниця багаторазового використання для м`яса  50 г;277;277;Алкоголь;Пиво;шт;False;277;39294401;1430;286
Шоколад Fine Milk 100 г;278;278;Алкоголь;Пиво;шт;False;278;400017021007;1435;287
Сік "Capri-Sonne" Super Kids  0,2л;279;279;Алкоголь;Пиво;шт;False;279;4000177161920;1440;288
Сік "Capri-Sonne" Полуниця  0,2л;280;280;Алкоголь;Пиво;шт;False;280;4000177170816;1445;289
Сік "Capri-Sonne" Апельсин  0,2л;281;281;Алкоголь;Пиво;шт;False;281;4000177407400;1450;290
Сік "Capri-Sonne" Multi Vitamin  0,2л;282;282;Алкоголь;Пиво;шт;False;282;4000177407509;1455;291
Сік "Capri-Sonne" Safari Fruits 0,2л;283;283;Алкоголь;Пиво;шт;False;283;4000177407608;1460;292
Сік "Capri-Sonne" Містичний дракон  0,2л;284;284;Алкоголь;Пиво;шт;False;284;4000177408100;1465;293
Сік "Capri-Sonne" Apple  0,2л;285;285;Алкоголь;Пиво;шт;False;285;4000177408308;1470;294
Шок. "Schogetten" tritogia 100г;286;286;Алкоголь;Пиво;шт;False;286;4000413143800;1475;295
Шок. "Schogetten" vanilla-wafer 100г;287;287;Алкоголь;Пиво;шт;False;287;400041501008;1480;296
Шок. "Schogetten" ваніль та вафлі 100г;288;288;Алкоголь;Пиво;шт;False;288;4000415015008;1485;297
Шок. "Schogetten" яблуко 100г;289;289;Алкоголь;Пиво;шт;False;289;4000415037307;1490;298
Шок. "Schogetten" з печивом орео 100г;290;290;Алкоголь;Пиво;шт;False;290;4000415039707;1495;299
Шок. "Schogetten" карамель та мигдаль 100г;291;291;Алкоголь;Пиво;шт;False;291;4000415068004;1500;300
Шок. "Schogetten" крем марцепан 100г;292;292;Алкоголь;Пиво;шт;False;292;4000415087609;1505;301
Шок. "Schogetten" морозиво 100г;293;293;Алкоголь;Пиво;шт;False;293;4000415111908;1510;302
Шок. "Schogetten" трилогія 100г;294;294;Алкоголь;Пиво;шт;False;294;4000415143800;1515;303
Шок. "Schogetten" тірамісу 100г;295;295;Алкоголь;Пиво;шт;False;295;4000415174309;1520;304
Шок. "Schogetten" капучіно 100г;296;296;Алкоголь;Пиво;шт;False;296;4000415851507;1525;305
Шок. "Schogetten" горіхова начинка 100г;297;297;Алкоголь;Пиво;шт;False;297;4000415851705;1530;306
Шок. "Schogetten" білий 100г;298;298;Алкоголь;Пиво;шт;False;298;4000415856601;1535;307
Шоколад " Ritter Sport" білий з цілими лісовими горіхами 100 г;299;299;Алкоголь;Пиво;шт;False;299;4000417013002;1540;308
Шоколад " Ritter Sport" молочний з альпійським молоком 100 г;300;300;Алкоголь;Пиво;шт;False;300;4000417018007;1545;309
Шок. "Ritter Sport" чорний 100г;301;301;Алкоголь;Пиво;шт;False;301;4000417020000;1550;310
Шок. "Ritter Sport" молочний 100г;302;302;Алкоголь;Пиво;шт;False;302;4000417021007;1555;311
Шоколад " Ritter Sport" молочний з родзинками та лісовими горіхами 100 г;303;303;Алкоголь;Пиво;шт;False;303;4000417022004;1560;312
Шок. "Ritter Sport" молочний з цільним горіхом 100г;304;304;Алкоголь;Пиво;шт;False;304;4000417023001;1565;313
Шок. "Ritter Sport" молочний з нугою 100г;305;305;Алкоголь;Пиво;шт;False;305;4000417026002;1570;314
Шок. "Ritter Sport" молочний з печевом 100г;306;306;Алкоголь;Пиво;шт;False;306;4000417214003;1575;315
Шок. "Ritter Sport" з цільним горіхом 100г;307;307;Алкоголь;Пиво;шт;False;307;4000417224002;1580;316
Dr.Oetker десерт тірамісу сухий 70г;308;308;Алкоголь;Пиво;шт;False;308;4000521472009;1585;317
Шокж. "Schogetten" молочний 100г;309;309;Алкоголь;Пиво;шт;False;309;4000607850004;1590;318
Шок. "Schogetten" лісовий горіх 100г;310;310;Алкоголь;Пиво;шт;False;310;4000607851001;1595;319
Шок. "Schogetten" з молоком 100г;311;311;Алкоголь;Пиво;шт;False;311;4000607854606;1600;320
Шок. "Schogetten" полуниця 100г;312;312;Алкоголь;Пиво;шт;False;312;4000607854705;1605;321
Пиво "Вар0айнер преміум верум" 0,5 л;313;313;Алкоголь;Пиво;шт;False;313;4000856005309;1610;322
Пиво "Вар0айнер преміум фреш" 0,33л;314;314;Алкоголь;Пиво;шт;False;314;4000856005989;1615;323
Сигари "Handelsgold" ваніль;315;315;Алкоголь;Пиво;шт;False;315;4000862211107;1620;324
Сигари "Handelsgold" вишня;316;316;Алкоголь;Пиво;шт;False;316;4000862213101;1625;325
Сигари " Ханделсголд Класік Сигаріллос  ";317;317;Алкоголь;Пиво;шт;False;317;4000862218106;1630;326
Сигари " Кламбмастер Суперріор Ванілла";318;318;Алкоголь;Пиво;шт;False;318;4000862229300;1635;327
Сигари " Хенделсголд Вуд Тіп-Сигарілос Ванілла ";319;319;Алкоголь;Пиво;шт;False;319;4000862410104;1640;328
Сигари " Хенделсголд Вуд Тіп-Сигарілос Черрі ";320;320;Алкоголь;Пиво;шт;False;320;4000862412108;1645;329
Сигари " Хенделсголд Вуд Тіп-Сигарілос Чоколат ";321;321;Алкоголь;Пиво;шт;False;321;4000862417103;1650;330
Hochwald вершки для кави 10*10г;322;322;Алкоголь;Пиво;шт;False;322;4001431140071;1655;331
Ром РОТТ  classik 40%   0,7л;323;323;Алкоголь;Пиво;шт;False;323;4001731150794;1660;332
Ром РОТТ  classik 54%  0,7л;324;324;Алкоголь;Пиво;шт;False;324;4001731152798;1665;333
Шок. "Chateau " Rahm Nuss 200 г;325;325;Алкоголь;Пиво;шт;False;325;4001743019218;1670;334
Шок. "Chateau "молочний з фундуком та горіхами 200 г;326;326;Алкоголь;Пиво;шт;False;326;4001743019249;1675;335
Шоколад "Karina Edel" 200 г;327;327;Алкоголь;Пиво;шт;False;327;4001743019355;1680;336
Шоколадно-горціховий крем "Nussa" Duo 400 г;328;328;Алкоголь;Пиво;шт;False;328;4002309007007;1685;337
Шоколадно-горціховий крем "Nussa" 400 г;329;329;Алкоголь;Пиво;шт;False;329;4002309007083;1690;338
Фільтр для самокруток " Гізе ";330;330;Алкоголь;Пиво;шт;False;330;4002604004763;1695;339
Кава "Мелітта" заварн. 250 г;331;331;Алкоголь;Пиво;шт;False;331;4002720002841;1700;340
Кава "Cafe Excellent" заварний 100 г;332;332;Алкоголь;Пиво;шт;False;332;4002720004166;1705;341
Кава "Melitta міцна" 95 г;333;333;Алкоголь;Пиво;шт;False;333;4002720006627;1710;342
Кава "Standard"  500г;334;334;Алкоголь;Пиво;шт;False;334;4002720007242;1715;343
Вино"Peter mertes" platinum гевюрцтрамінер біле напівсолодке 0,75л;335;335;Алкоголь;Пиво;шт;False;335;4003301089428;1720;344
Вино Chile " Квартал Кабернє Савіньон Чилі "0,75л;336;336;Алкоголь;Пиво;шт;False;336;4003301090400;1725;345
Вершки "Schlag wunder" аналог 250 г;337;337;Алкоголь;Пиво;шт;False;337;4003490043393;1730;346
Сигари "Аль Капоне Покетс Фільтр ";338;338;Алкоголь;Пиво;шт;False;338;4004018002038;1735;347
Сигари " Голден Трейс Фільтр ";339;339;Алкоголь;Пиво;шт;False;339;4004018004742;1740;348
Сигари " Мудс ";340;340;Алкоголь;Пиво;шт;False;340;4004018202605;1745;349
Сигари " Алькапоне Світс Фільтр ";341;341;Алкоголь;Пиво;шт;False;341;4004018353000;1750;350
Кава "Davidoff" річ арома мелена 250г;342;342;Алкоголь;Пиво;шт;False;342;4006067046810;1755;351
Кава " Davidoff еспресо" розчин. скло 100 г;343;343;Алкоголь;Пиво;шт;False;343;4006067060977;1760;352
Кава " Davidoff" розчин. скло 100 г;344;344;Алкоголь;Пиво;шт;False;344;4006067084300;1765;353
Кава "Tchibo exclusiv" смажена мелена 100 г;345;345;Алкоголь;Пиво;шт;False;345;4006067848742;1770;354
Кава "Tchibo Exclusive" заварний 250 г;346;346;Алкоголь;Пиво;шт;False;346;4006067888250;1775;355
Кава "Чібо" Єксклюзив в зернах 250 г;347;347;Алкоголь;Пиво;шт;False;347;4006067889196;1780;356
Кава "Чібо Gold" заварн.250 г;348;348;Алкоголь;Пиво;шт;False;348;4006067943676;1785;357
Кава "Movenpick" зерно 500 г;349;349;Алкоголь;Пиво;шт;False;349;4006581001753;1790;358
Кава "Movenpick" заварн 500 г;350;350;Алкоголь;Пиво;шт;False;350;4006581001777;1795;359
Кава "Айллес гурме" 250 г;351;351;Алкоголь;Пиво;шт;False;351;4006581019284;1800;360
Настоянка-ром "Caribia blek rum" 0,7 л;352;352;Алкоголь;Пиво;шт;False;352;4006714004781;1805;361
Вiскi Бурбон " Old Road " 0,7л;353;353;Алкоголь;Пиво;шт;False;353;4006714004798;1810;362
Настоянка-ром "Caribia cpiced gold rum" 0,7 л;354;354;Алкоголь;Пиво;шт;False;354;4006714004859;1815;363
Лiкер " Caribia Мохито " 0,7л;355;355;Алкоголь;Пиво;шт;False;355;4006714004866;1820;364
Джин " Wilmor " 0,7л;356;356;Алкоголь;Пиво;шт;False;356;4006714004880;1825;365
Лiкер трав"яний "Альтер Герцог" 0,7л;357;357;Алкоголь;Пиво;шт;False;357;4006714004927;1830;366
Mikado Ананас кусочками 565 г;358;358;Алкоголь;Пиво;шт;False;358;4007415005428;1835;367
Mikado Ананас кусочками 820 г;359;359;Алкоголь;Пиво;шт;False;359;4007415005442;1840;368
Mikado Ананас кільцями в сиропі 820 г;360;360;Алкоголь;Пиво;шт;False;360;4007415005503;1845;369
Mikado Персики половинками 410 г;361;361;Алкоголь;Пиво;шт;False;361;4007415005541;1850;370
Mikado Шампіньони мариновані 520 г;362;362;Алкоголь;Пиво;шт;False;362;4007415005848;1855;371
Mikado Маслини чорні  з кісткою 300 г;363;363;Алкоголь;Пиво;шт;False;363;4007415006586;1860;372
Mikado маслини без кісточки 300г;364;364;Алкоголь;Пиво;шт;False;364;4007415006609;1865;373
